Sl.No,Name of the station,District,Taluk,Revenue Village,Latitude,Longitude,Started on
1," Taluk Office, Andimadam",Ariyalur,Andimadam,ANDIMADAM,11.3354,79.3741,20-01-2021
2, Ariyalur Taluk Office,Ariyalur,Ariyalur,ARIYALUR (S),11.14,79.077,21-11-2019
3, Kuruvadi,Ariyalur,Ariyalur,KURUVADI,10.9728,79.2347,16-12-2022
4, THIRUMANUR PWD OFFICE (R.C.DIVISION),Ariyalur,Ariyalur,THIRUMANUR,10.9333,79.1,21-11-2019
5," PWD Office, Sendurai",Ariyalur,Sendurai,SENDHURAI,11.2539,79.1763,21-11-2019
6, Jayankondam taluk office,Ariyalur,Udayarpalayam,JAYAKONDASOLAPURAM,11.2167,79.3666,21-11-2019
7, Suthamalli dam,Ariyalur,Udayarpalayam,NADUVALUR(E),11.041,79.1842,16-12-2022
8, T.Palur Panchayat Union 0ffice,Ariyalur,Udayarpalayam,T. PALUR,11.2388,79.4788,26-11-2023
9, Chengalpattu,Chengalpattu,Chengalpattu,CHENGALPATTU,12.6745,79.9774,01-01-2014
10, Cheyyur,Chengalpattu,Cheyyur,CHEYYUR B,12.3525,79.9995,01-01-2012
11, Madurantakam taluk office,Chengalpattu,Madhurantakam,MADURANTHAKAM-PART I,12.4991,79.8752,01-01-2003
12," Taluk Office, Tambaram",Chengalpattu,Tambaram,KADAPERI,12.935,80.1269,24-10-2016
13, Mammallapuram PWD bungalow,Chengalpattu,Thirukkalukundram,MAMALLAPURAM,12.616,80.1878,01-01-1994
14," Taluk Office, Thirukalukundram",Chengalpattu,Thirukkalukundram,THIRUKALUKUNDRAM,12.6161,80.1888,01-10-2013
15, Keelampakkam,Chengalpattu,Thirupporur,KELAMPAKKAM,12.7803,80.2294,01-01-1940
16," Taluk Office, Thiruporur",Chengalpattu,Thirupporur,THIRUPPORUR,12.7201,80.1862,23-09-2016
17, Alandur,Chennai,Alandur,MEENAMBAKKAM,12.9975,80.2006,25-10-2019
18, Ambathur,Chennai,Ambattur,Ambattur,13.1095,80.149,25-10-2019
19, Ayanavaram taluk office,Chennai,Ayanavaram,Ayanavaram (Part 1),13.0883,80.2318,25-10-2019
20, Chennai nungambakkam,Chennai,Egmore,Nungambakkam,13.0667,80.25,25-10-2019
21, Anna university,Chennai,Guindy,Kottur,13.0092,80.2342,25-10-2019
22, Gov hr sec school MGR Nagar,Chennai,Mambalam,Saligramam,13.0331,80.2027,25-10-2019
23, DGP Office,Chennai,Mylapore,Mylapore (Part 1),13.05,80.2333,25-10-2019
24, Perambur Corporation park,Chennai,Perambur,Perambur (Part 3),13.0965,80.2922,25-10-2019
25, Chennai collectorate building,Chennai,Pursawalkam,V.O.C Nagar,13.1282,80.2916,25-10-2019
26, Sholinganallur,Chennai,Sholinganallur,CHOZHINGANALLUR-2,12.8773,80.2277,25-10-2019
27, CD Hospital Tondiarpet,Chennai,Tondiarpet,Tondiarpet (Part 2),13.1093,80.2427,25-10-2019
28, Aliyar,Coimbatore,Anaimalai,ANAIMALAI.,11.0168,76.9558,10-04-2000
29," Taluk Office, Anaimalai",Coimbatore,Anaimalai,ANAIMALAI.,10.582,76.934,07-11-2022
30, Annur,Coimbatore,Annur,ANNUR METTUPALAYAM.,11.2337,77.1029,10-07-2001
